x Value, y Value
0, -0.156971
0.5, -0.257653
1, -0.254603
1.5, -0.294265
2, -0.288163
2.5, -0.230195
3, -0.224093
3.5, -0.239348
4, -0.172226
4.5, -0.233246
5, -0.370539
5.5, -0.199685
6, -0.15392
6.5, -0.285112
7, -0.282061
7.5, -0.248501
8, -0.410202
8.5, -0.391896
9, -0.358336
9.5, -0.370539
10, -0.306469
10.5, -0.379692
11, -0.269857
11.5, -0.24545
12, -0.306469
12.5, -0.333928
13, -0.297316
13.5, -0.37359
14, -0.306469
14.5, -0.330877
15, -0.21494
15.5, -0.221042
16, -0.282061
16.5, -0.336979
17, -0.391896
17.5, -0.138666
18, -0.230195
18.5, -0.401049
19, -0.297316
19.5, -0.205787
20, -0.248501
20.5, -0.327826
21, -0.336979
21.5, -0.257653
22, -0.321724
22.5, -0.272908
23, -0.379692
23.5, -0.221042
24, -0.175277
24.5, -0.263755
25, -0.248501
25.5, -0.263755
26, -0.34003
26.5, -0.352234
27, -0.327826
27.5, -0.300367
28, -0.285112
28.5, -0.221042
29, -0.217991
29.5, -0.239348
30, -0.330877
30.5, -0.251552
31, -0.300367
31.5, -0.324775
32, -0.364437
32.5, -0.30952
33, -0.269857
33.5, -0.306469
34, -0.260704
34.5, -0.230195
35, -0.24545
35.5, -0.230195
36, -0.169175
36.5, -0.205787
37, -0.21494
37.5, -0.190532
38, -0.364437
38.5, -0.343081
39, -0.227144
39.5, -0.217991
40, -0.30952
40.5, -0.144768
41, -0.138666
41.5, -0.260704
42, -0.239348
42.5, -0.160022
43, -0.24545
43.5, -0.193583
44, -0.242399
44.5, -0.306469
45, -0.24545
45.5, -0.163073
46, -0.297316
46.5, -0.172226
47, -0.260704
47.5, -0.227144
48, -0.364437
48.5, -0.30952
49, -0.343081
49.5, -0.333928
50, -0.321724
50.5, -0.34003
51, -0.34003
51.5, -0.376641
52, -0.27901
52.5, -0.18443
53, -0.346132
53.5, -0.285112
54, -0.275959
54.5, -0.263755
55, -0.318673
55.5, -0.190532
56, -0.224093
56.5, -0.141717
57, -0.364437
57.5, -0.282061
58, -0.251552
58.5, -0.217991
59, -0.202736
59.5, -0.364437
60, -0.217991
60.5, -0.300367
61, -0.391896
61.5, -0.230195
62, -0.391896
62.5, -0.230195
63, -0.346132
63.5, -0.30952
64, -0.324775
64.5, -0.260704
65, -0.285112
65.5, -0.294265
66, -0.364437
66.5, -0.114258
67, -0.24545
67.5, -0.480374
68, -0.254603
68.5, -0.233246
69, -0.175277
69.5, -0.141717
70, -0.291214
70.5, -0.285112
71, -0.272908
71.5, -0.324775
72, -0.269857
72.5, -0.224093
73, -0.236297
73.5, -0.181379
74, -0.227144
74.5, -0.330877
75, -0.193583
75.5, -0.208838
76, -0.196634
76.5, -0.272908
77, -0.126462
77.5, -0.300367
78, -0.336979
78.5, -0.318673
79, -0.27901
79.5, -0.18443
80, -0.315622
80.5, -0.260704
81, -0.236297
81.5, -0.34003
82, -0.27901
82.5, -0.208838
83, -0.272908
83.5, -0.208838
84, -0.297316
84.5, -0.248501
85, -0.224093
85.5, -0.248501
86, -0.376641
86.5, -0.330877
87, -0.236297
87.5, -0.208838
88, -0.260704
88.5, -0.257653
89, -0.202736
89.5, -0.260704
90, -0.358336
90.5, -0.437661
91, -0.15392
91.5, -0.343081
92, -0.251552
92.5, -0.233246
93, -0.27901
93.5, -0.163073
94, -0.18443
94.5, -0.367488
95, -0.285112
95.5, -0.330877
96, -0.208838
96.5, -0.172226
97, -0.349183
97.5, -0.193583
98, -0.27901
98.5, -0.21494
99, -0.300367
99.5, -0.266806
100, -0.239348
100.5, -0.275959
101, -0.199685
101.5, -0.095952
102, -0.440712
102.5, -0.236297
103, -0.346132
103.5, -0.217991
104, -0.150869
104.5, -0.266806
105, -0.196634
105.5, -0.102054
106, -0.266806
106.5, -0.291214
107, -0.236297
107.5, -0.178328
108, -0.230195
108.5, -0.205787
109, -0.272908
109.5, -0.330877
110, -0.288163
110.5, -0.21494
111, -0.388845
111.5, -0.379692
112, -0.291214
112.5, -0.108156
113, -0.291214
113.5, -0.327826
114, -0.156971
114.5, -0.388845
115, -0.217991
115.5, -0.27901
116, -0.291214
116.5, -0.236297
117, -0.330877
117.5, -0.401049
118, -0.211889
118.5, -0.43461
119, -0.062391
119.5, -0.306469
120, -0.044086
120.5, -0.08985
121, -0.233246
121.5, -0.288163
122, -0.227144
122.5, -0.294265
123, -0.321724
123.5, -0.275959
124, -0.291214
124.5, -0.227144
125, -0.272908
125.5, -0.275959
126, -0.27901
126.5, -0.294265
127, -0.501731
127.5, -0.504782
128, -0.431559
128.5, -0.346132
129, -0.343081
129.5, -0.361386
130, -0.355285
130.5, -0.37359
131, -0.336979
131.5, -0.358336
132, -0.321724
132.5, -0.355285
133, -0.376641
133.5, -0.376641
134, -0.388845
134.5, -0.355285
135, -0.297316
135.5, -0.367488
136, -0.324775
136.5, -0.349183
137, -0.382743
137.5, -0.352234
138, -0.388845
138.5, -0.364437
139, -0.297316
139.5, -0.349183
140, -0.324775
140.5, -0.361386
141, -0.4041
141.5, -0.352234
142, -0.394947
142.5, -0.358336
143, -0.294265
143.5, -0.364437
144, -0.318673
144.5, -0.361386
145, -0.364437
145.5, -0.349183
146, -0.4041
146.5, -0.364437
147, -0.352234
147.5, -0.34003
148, -0.376641
148.5, -0.376641
149, -0.370539
149.5, -0.361386
150, -0.388845
150.5, -0.355285
151, -0.343081
151.5, -0.34003
152, -0.358336
152.5, -0.367488
153, -0.349183
153.5, -0.355285
154, -0.367488
154.5, -0.37359
155, -0.318673
155.5, -0.358336
156, -0.346132
156.5, -0.370539
157, -0.379692
157.5, -0.352234
158, -0.370539
158.5, -0.370539
159, -0.343081
159.5, -0.343081
160, -0.355285
160.5, -0.361386
161, -0.370539
161.5, -0.349183
162, -0.364437
162.5, -0.364437
163, -0.324775
163.5, -0.355285
164, -0.370539
164.5, -0.367488
165, -0.361386
165.5, -0.361386
166, -0.37359
166.5, -0.367488
167, -0.358336
167.5, -0.349183
168, -0.355285
168.5, -0.358336
169, -0.370539
169.5, -0.361386
170, -0.361386
170.5, -0.343081
171, -0.364437
171.5, -0.349183
172, -0.367488
172.5, -0.355285
173, -0.364437
173.5, -0.370539
174, -0.349183
174.5, -0.34003
175, -0.364437
175.5, -0.34003
176, -0.37359
176.5, -0.358336
177, -0.349183
177.5, -0.385794
178, -0.361386
178.5, -0.361386
179, -0.364437
179.5, -0.346132
180, -0.370539
180.5, -0.364437
181, -0.367488
181.5, -0.37359
182, -0.364437
182.5, -0.34003
183, -0.343081
183.5, -0.349183
184, -0.376641
184.5, -0.358336
185, -0.364437
185.5, -0.382743
186, -0.37359
186.5, -0.343081
187, -0.346132
187.5, -0.349183
188, -0.379692
188.5, -0.352234
189, -0.367488
189.5, -0.370539
190, -0.37359
190.5, -0.327826
191, -0.346132
191.5, -0.382743
192, -0.358336
192.5, -0.370539
193, -0.370539
193.5, -0.333928
194, -0.367488
194.5, -0.330877
195, -0.346132
195.5, -0.376641
196, -0.367488
196.5, -0.37359
197, -0.367488
197.5, -0.333928
198, -0.330877
198.5, -0.333928
199, -0.336979
199.5, -0.37359
200, -0.349183
200.5, -0.37359
201, -0.37359
201.5, -0.327826
202, -0.327826
202.5, -0.315622
203, -0.352234
203.5, -0.385794
204, -0.370539
204.5, -0.385794
205, -0.376641
205.5, -0.324775
206, -0.318673
206.5, -0.346132
207, -0.349183
207.5, -0.358336
208, -0.364437
208.5, -0.397998
209, -0.379692
209.5, -0.336979
210, -0.324775
210.5, -0.355285
211, -0.330877
211.5, -0.382743
212, -0.376641
212.5, -0.379692
213, -0.376641
213.5, -0.327826
214, -0.327826
214.5, -0.346132
215, -0.361386
215.5, -0.37359
216, -0.37359
216.5, -0.4041
217, -0.34003
217.5, -0.297316
218, -0.352234
218.5, -0.312571
219, -0.37359
219.5, -0.379692
220, -0.355285
220.5, -0.388845
221, -0.330877
221.5, -0.321724
