x Value, y Value
0, -0.202736
0.5, -0.401049
1, -0.343081
1.5, -0.300367
2, -0.166124
2.5, -0.263755
3, -0.224093
3.5, -0.236297
4, -0.181379
4.5, -0.333928
5, -0.300367
5.5, -0.318673
6, -0.230195
6.5, -0.446814
7, -0.330877
7.5, -0.21494
8, -0.318673
8.5, -0.251552
9, -0.129513
9.5, -0.160022
10, -0.272908
10.5, -0.257653
11, -0.202736
11.5, -0.257653
12, -0.291214
12.5, -0.248501
13, -0.300367
13.5, -0.30952
14, -0.266806
14.5, -0.367488
15, -0.129513
15.5, -0.272908
16, -0.285112
16.5, -0.321724
17, -0.361386
17.5, -0.385794
18, -0.288163
18.5, -0.199685
19, -0.294265
19.5, -0.24545
20, -0.233246
20.5, -0.24545
21, -0.330877
21.5, -0.18443
22, -0.269857
22.5, -0.269857
23, -0.260704
23.5, -0.336979
24, -0.263755
24.5, -0.236297
25, -0.156971
25.5, -0.336979
26, -0.217991
26.5, -0.315622
27, -0.196634
27.5, -0.208838
28, -0.254603
28.5, -0.397998
29, -0.187481
29.5, -0.248501
30, -0.294265
30.5, -0.178328
31, -0.27901
31.5, -0.312571
32, -0.251552
32.5, -0.263755
33, -0.27901
33.5, -0.315622
34, -0.288163
34.5, -0.330877
35, -0.202736
35.5, -0.34003
36, -0.407151
36.5, -0.388845
37, -0.321724
37.5, -0.141717
38, -0.21494
38.5, -0.260704
39, -0.364437
39.5, -0.260704
40, -0.224093
40.5, -0.254603
41, -0.092901
41.5, -0.242399
42, -0.21494
42.5, -0.291214
43, -0.169175
43.5, -0.370539
44, -0.370539
44.5, -0.123411
45, -0.117309
45.5, -0.230195
46, -0.327826
46.5, -0.318673
47, -0.413253
47.5, -0.21494
48, -0.303418
48.5, -0.05934
49, -0.227144
49.5, -0.336979
50, -0.205787
50.5, -0.333928
51, -0.27901
51.5, -0.272908
52, -0.18443
52.5, -0.21494
53, -0.217991
53.5, -0.324775
54, -0.248501
54.5, -0.312571
55, -0.27901
55.5, -0.254603
56, -0.135615
56.5, -0.21494
57, -0.266806
57.5, -0.275959
58, -0.391896
58.5, -0.251552
59, -0.275959
59.5, -0.208838
60, -0.132564
60.5, -0.196634
61, -0.300367
61.5, -0.324775
62, -0.205787
62.5, -0.382743
63, -0.257653
63.5, -0.242399
64, -0.21494
64.5, -0.272908
65, -0.224093
65.5, -0.291214
66, -0.263755
66.5, -0.306469
67, -0.257653
67.5, -0.230195
68, -0.196634
68.5, -0.297316
69, -0.254603
69.5, -0.263755
70, -0.382743
70.5, -0.349183
71, -0.221042
71.5, -0.318673
72, -0.312571
72.5, -0.318673
73, -0.333928
73.5, -0.300367
74, -0.336979
74.5, -0.18443
75, -0.269857
75.5, -0.181379
76, -0.224093
76.5, -0.175277
77, -0.327826
77.5, -0.303418
78, -0.37359
78.5, -0.254603
79, -0.349183
79.5, -0.175277
80, -0.288163
80.5, -0.196634
81, -0.193583
81.5, -0.205787
82, -0.27901
82.5, -0.163073
83, -0.288163
83.5, -0.166124
84, -0.327826
84.5, -0.24545
85, -0.24545
85.5, -0.260704
86, -0.30952
86.5, -0.239348
87, -0.135615
87.5, -0.303418
88, -0.394947
88.5, -0.43461
89, -0.172226
89.5, -0.251552
90, -0.239348
90.5, -0.138666
91, -0.202736
91.5, -0.282061
92, -0.144768
92.5, -0.156971
93, -0.24545
93.5, -0.230195
94, -0.324775
94.5, -0.175277
95, -0.27901
95.5, -0.355285
96, -0.275959
96.5, -0.224093
97, -0.291214
97.5, -0.30952
98, -0.190532
98.5, -0.257653
99, -0.211889
99.5, -0.34003
100, -0.391896
100.5, -0.254603
101, -0.208838
101.5, -0.230195
102, -0.30952
102.5, -0.181379
103, -0.272908
103.5, -0.196634
104, -0.318673
104.5, -0.318673
105, -0.343081
105.5, -0.343081
106, -0.208838
106.5, -0.330877
107, -0.251552
107.5, -0.318673
108, -0.172226
108.5, -0.254603
109, -0.227144
109.5, -0.242399
110, -0.294265
110.5, -0.336979
111, -0.138666
111.5, -0.205787
112, -0.236297
112.5, -0.285112
113, -0.239348
113.5, -0.251552
114, -0.251552
114.5, -0.272908
115, -0.181379
115.5, -0.27901
116, -0.233246
116.5, -0.254603
117, -0.178328
117.5, -0.24545
118, -0.260704
118.5, -0.257653
119, -0.21494
119.5, -0.193583
120, -0.236297
120.5, -0.43461
121, -0.327826
121.5, -0.361386
122, -0.190532
122.5, -0.300367
123, -0.12036
123.5, -0.394947
124, -0.297316
124.5, -0.330877
125, -0.193583
125.5, -0.312571
126, -0.364437
126.5, -0.275959
127, -0.251552
127.5, -0.34003
128, -0.27901
128.5, -0.239348
129, -0.291214
129.5, -0.303418
130, -0.178328
130.5, -0.4041
131, -0.221042
131.5, -0.306469
132, -0.321724
132.5, -0.236297
133, -0.150869
133.5, -0.297316
134, -0.303418
134.5, -0.233246
135, -0.282061
135.5, -0.24545
136, -0.272908
136.5, -0.163073
137, -0.291214
137.5, -0.364437
138, -0.205787
138.5, -0.211889
139, -0.346132
139.5, -0.303418
140, -0.358336
140.5, -0.217991
141, -0.300367
141.5, -0.269857
142, -0.269857
142.5, -0.272908
143, -0.275959
143.5, -0.260704
144, -0.227144
144.5, -0.318673
145, -0.239348
145.5, -0.181379
146, -0.282061
146.5, -0.248501
147, -0.297316
147.5, -0.242399
148, -0.251552
148.5, -0.336979
149, -0.135615
149.5, -0.15392
150, -0.361386
150.5, -0.282061
151, -0.21494
151.5, -0.294265
152, -0.208838
152.5, -0.275959
153, -0.330877
153.5, -0.275959
154, -0.221042
154.5, -0.349183
155, -0.24545
155.5, -0.190532
156, -0.199685
156.5, -0.413253
157, -0.092901
157.5, -0.282061
158, -0.422406
158.5, -0.181379
159, -0.428508
159.5, -0.336979
160, -0.257653
160.5, -0.178328
161, -0.147819
161.5, -0.24545
162, -0.202736
162.5, -0.355285
163, -0.367488
163.5, -0.282061
164, -0.202736
164.5, -0.358336
165, -0.129513
165.5, -0.230195
166, -0.190532
166.5, -0.211889
167, -0.312571
167.5, -0.263755
168, -0.123411
168.5, -0.126462
169, -0.349183
169.5, -0.272908
170, -0.352234
170.5, -0.361386
171, -0.321724
171.5, -0.346132
172, -0.294265
172.5, -0.291214
173, -0.254603
173.5, -0.330877
174, -0.300367
174.5, -0.217991
175, -0.150869
175.5, -0.111207
176, -0.239348
176.5, -0.132564
177, -0.346132
177.5, -0.336979
178, -0.413253
178.5, -0.34003
179, -0.364437
179.5, -0.294265
180, -0.248501
180.5, -0.269857
181, -0.230195
181.5, -0.379692
182, -0.272908
182.5, -0.242399
183, -0.263755
183.5, -0.181379
184, -0.263755
184.5, -0.236297
185, -0.30952
185.5, -0.407151
186, -0.18443
186.5, -0.312571
187, -0.190532
187.5, -0.318673
188, -0.285112
188.5, -0.144768
189, -0.163073
189.5, -0.224093
190, -0.248501
190.5, -0.27901
191, -0.242399
191.5, -0.239348
192, -0.272908
192.5, -0.336979
193, -0.263755
193.5, -0.24545
194, -0.297316
194.5, -0.34003
195, -0.211889
195.5, -0.199685
196, -0.291214
196.5, -0.275959
197, -0.169175
197.5, -0.233246
198, -0.254603
198.5, -0.190532
199, -0.275959
199.5, -0.260704
200, -0.21494
200.5, -0.282061
201, -0.333928
201.5, -0.306469
202, -0.248501
202.5, -0.282061
203, -0.193583
203.5, -0.221042
204, -0.150869
204.5, -0.397998
205, -0.263755
205.5, -0.300367
206, -0.294265
206.5, -0.21494
207, -0.211889
207.5, -0.263755
208, -0.303418
208.5, -0.315622
209, -0.257653
209.5, -0.233246
210, -0.166124
210.5, -0.178328
