x Value, y Value
0, -0.221042
0.5, -0.230195
1, -0.269857
1.5, -0.266806
2, -0.291214
2.5, -0.166124
3, -0.239348
3.5, -0.282061
4, -0.175277
4.5, -0.24545
5, -0.266806
5.5, -0.285112
6, -0.08985
6.5, -0.236297
7, -0.166124
7.5, -0.358336
8, -0.269857
8.5, -0.269857
9, -0.230195
9.5, -0.196634
10, -0.254603
10.5, -0.306469
11, -0.327826
11.5, -0.227144
12, -0.275959
12.5, -0.297316
13, -0.175277
13.5, -0.355285
14, -0.358336
14.5, -0.156971
15, -0.199685
15.5, -0.300367
16, -0.163073
16.5, -0.196634
17, -0.21494
17.5, -0.205787
18, -0.291214
18.5, -0.297316
19, -0.233246
19.5, -0.248501
20, -0.175277
20.5, -0.169175
21, -0.175277
21.5, -0.251552
22, -0.30952
22.5, -0.419355
23, -0.202736
23.5, -0.221042
24, -0.144768
24.5, -0.4041
25, -0.147819
25.5, -0.312571
26, -0.282061
26.5, -0.260704
27, -0.294265
27.5, -0.242399
28, -0.144768
28.5, -0.221042
29, -0.27901
29.5, -0.272908
30, -0.227144
30.5, -0.349183
31, -0.367488
31.5, -0.160022
32, -0.205787
32.5, -0.343081
33, -0.147819
33.5, -0.34003
34, -0.333928
34.5, -0.416304
35, -0.333928
35.5, -0.15392
36, -0.291214
36.5, -0.230195
37, -0.160022
37.5, -0.303418
38, -0.227144
38.5, -0.312571
39, -0.416304
39.5, -0.294265
40, -0.169175
40.5, -0.117309
41, -0.288163
41.5, -0.217991
42, -0.211889
42.5, -0.230195
43, -0.269857
43.5, -0.303418
44, -0.257653
44.5, -0.321724
45, -0.263755
45.5, -0.343081
46, -0.242399
46.5, -0.321724
47, -0.303418
47.5, -0.150869
48, -0.321724
48.5, -0.257653
49, -0.24545
49.5, -0.376641
50, -0.428508
50.5, -0.285112
51, -0.202736
51.5, -0.019678
52, -0.239348
52.5, -0.160022
53, -0.208838
53.5, -0.233246
54, -0.242399
54.5, -0.236297
55, -0.27901
55.5, -0.217991
56, -0.205787
56.5, -0.324775
57, -0.236297
57.5, -0.233246
58, -0.330877
58.5, -0.172226
59, -0.288163
59.5, -0.30952
60, -0.37359
60.5, -0.391896
61, -0.181379
61.5, -0.401049
62, -0.263755
62.5, -0.282061
63, -0.269857
63.5, -0.321724
64, -0.312571
64.5, -0.236297
65, -0.156971
65.5, -0.251552
66, -0.333928
66.5, -0.065442
67, -0.263755
67.5, -0.269857
68, -0.294265
68.5, -0.251552
69, -0.199685
69.5, -0.27901
70, -0.224093
70.5, -0.300367
71, -0.211889
71.5, -0.321724
72, -0.266806
72.5, -0.321724
73, -0.294265
73.5, -0.248501
74, -0.248501
74.5, -0.343081
75, -0.306469
75.5, -0.211889
76, -0.471221
76.5, -0.272908
77, -0.132564
77.5, -0.30952
78, -0.227144
78.5, -0.391896
79, -0.224093
79.5, -0.312571
80, -0.266806
80.5, -0.282061
81, -0.266806
81.5, -0.306469
82, -0.202736
82.5, -0.294265
83, -0.12036
83.5, -0.333928
84, -0.364437
84.5, -0.288163
85, -0.199685
85.5, -0.227144
86, -0.27901
86.5, -0.211889
87, -0.236297
87.5, -0.388845
88, -0.199685
88.5, -0.187481
89, -0.236297
89.5, -0.248501
90, -0.34003
90.5, -0.330877
91, -0.282061
91.5, -0.275959
92, -0.263755
92.5, -0.254603
93, -0.394947
93.5, -0.24545
94, -0.221042
94.5, -0.391896
95, -0.416304
95.5, -0.251552
96, -0.211889
96.5, -0.221042
97, -0.254603
97.5, -0.300367
98, -0.269857
98.5, -0.187481
99, -0.263755
99.5, -0.227144
100, -0.294265
100.5, -0.330877
101, -0.266806
101.5, -0.385794
102, -0.208838
102.5, -0.236297
103, -0.27901
103.5, -0.397998
104, -0.385794
104.5, -0.291214
105, -0.221042
105.5, -0.413253
106, -0.364437
106.5, -0.336979
107, -0.315622
107.5, -0.333928
108, -0.297316
108.5, -0.416304
109, -0.221042
109.5, -0.27901
110, -0.202736
110.5, -0.30952
111, -0.336979
111.5, -0.379692
112, -0.272908
112.5, -0.242399
113, -0.230195
113.5, -0.327826
114, -0.230195
114.5, -0.141717
115, -0.303418
115.5, -0.30952
116, -0.352234
116.5, -0.263755
117, -0.34003
117.5, -0.312571
118, -0.205787
118.5, -0.236297
119, -0.327826
119.5, -0.254603
120, -0.224093
120.5, -0.260704
121, -0.303418
121.5, -0.343081
122, -0.221042
122.5, -0.321724
123, -0.346132
123.5, -0.254603
124, -0.391896
124.5, -0.224093
125, -0.27901
125.5, -0.242399
126, -0.318673
126.5, -0.358336
127, -0.242399
127.5, -0.349183
128, -0.379692
128.5, -0.224093
129, -0.266806
129.5, -0.324775
130, -0.315622
130.5, -0.187481
131, -0.282061
131.5, -0.248501
132, -0.239348
132.5, -0.233246
133, -0.269857
133.5, -0.297316
134, -0.27901
134.5, -0.18443
135, -0.163073
