x Value, y Value
0, -0.178328
0.5, -0.294265
1, -0.321724
1.5, -0.266806
2, -0.288163
2.5, -0.303418
3, -0.178328
3.5, -0.303418
4, -0.288163
4.5, -0.34003
5, -0.221042
5.5, -0.343081
6, -0.446814
6.5, -0.285112
7, -0.275959
7.5, -0.282061
8, -0.108156
8.5, -0.291214
9, -0.288163
9.5, -0.233246
10, -0.336979
10.5, -0.224093
11, -0.288163
11.5, -0.327826
12, -0.282061
12.5, -0.355285
13, -0.18443
13.5, -0.288163
14, -0.236297
14.5, -0.294265
15, -0.269857
15.5, -0.318673
16, -0.272908
16.5, -0.230195
17, -0.21494
17.5, -0.236297
18, -0.282061
18.5, -0.135615
19, -0.224093
19.5, -0.266806
20, -0.248501
20.5, -0.172226
21, -0.187481
21.5, -0.181379
22, -0.24545
22.5, -0.324775
23, -0.21494
23.5, -0.248501
24, -0.114258
24.5, -0.303418
25, -0.205787
25.5, -0.224093
26, -0.4041
26.5, -0.285112
27, -0.12036
27.5, -0.254603
28, -0.358336
28.5, -0.236297
29, -0.257653
29.5, -0.291214
30, -0.24545
30.5, -0.217991
31, -0.303418
31.5, -0.315622
32, -0.272908
32.5, -0.349183
33, -0.132564
33.5, -0.336979
34, -0.190532
34.5, -0.217991
35, -0.147819
35.5, -0.263755
36, -0.422406
36.5, -0.12036
37, -0.193583
37.5, -0.199685
38, -0.08985
38.5, -0.135615
39, -0.263755
39.5, -0.4041
40, -0.294265
40.5, -0.312571
41, -0.263755
41.5, -0.336979
42, -0.294265
42.5, -0.21494
43, -0.251552
43.5, -0.24545
44, -0.355285
44.5, -0.208838
45, -0.21494
45.5, -0.260704
46, -0.269857
46.5, -0.135615
47, -0.379692
47.5, -0.425457
48, -0.358336
48.5, -0.196634
49, -0.181379
49.5, -0.202736
50, -0.294265
50.5, -0.257653
51, -0.312571
51.5, -0.275959
52, -0.330877
52.5, -0.291214
53, -0.181379
53.5, -0.233246
54, -0.141717
54.5, -0.196634
55, -0.147819
55.5, -0.230195
56, -0.178328
56.5, -0.230195
57, -0.233246
57.5, -0.272908
58, -0.27901
58.5, -0.385794
59, -0.239348
59.5, -0.217991
60, -0.349183
60.5, -0.361386
61, -0.169175
61.5, -0.294265
62, -0.343081
62.5, -0.330877
63, -0.306469
63.5, -0.336979
64, -0.385794
64.5, -0.358336
65, -0.291214
65.5, -0.324775
66, -0.327826
66.5, -0.193583
67, -0.224093
67.5, -0.318673
68, -0.224093
68.5, -0.327826
69, -0.202736
69.5, -0.275959
70, -0.211889
70.5, -0.294265
71, -0.242399
71.5, -0.275959
72, -0.047136
72.5, -0.260704
73, -0.239348
73.5, -0.352234
74, -0.02578
74.5, -0.452916
75, -0.346132
75.5, -0.272908
76, -0.230195
76.5, -0.288163
77, -0.224093
77.5, -0.291214
78, -0.15392
78.5, -0.24545
79, -0.257653
79.5, -0.147819
80, -0.221042
80.5, -0.236297
81, -0.233246
81.5, -0.272908
82, -0.251552
82.5, -0.288163
83, -0.224093
83.5, -0.291214
84, -0.254603
84.5, -0.181379
85, -0.251552
85.5, -0.275959
86, -0.352234
86.5, -0.315622
87, -0.242399
87.5, -0.288163
88, -0.303418
88.5, -0.230195
89, -0.318673
89.5, -0.376641
90, -0.364437
90.5, -0.251552
91, -0.217991
91.5, -0.199685
92, -0.224093
92.5, -0.135615
93, -0.263755
93.5, -0.141717
94, -0.233246
94.5, -0.227144
95, -0.294265
95.5, -0.239348
96, -0.163073
96.5, -0.193583
97, -0.266806
97.5, -0.315622
98, -0.230195
98.5, -0.251552
99, -0.394947
99.5, -0.343081
100, -0.123411
100.5, -0.349183
101, -0.367488
101.5, -0.227144
102, -0.263755
102.5, -0.239348
103, -0.205787
103.5, -0.346132
104, -0.315622
104.5, -0.297316
105, -0.300367
105.5, -0.166124
106, -0.285112
106.5, -0.318673
107, -0.254603
107.5, -0.346132
108, -0.181379
108.5, -0.285112
109, -0.275959
109.5, -0.355285
110, -0.236297
110.5, -0.257653
111, -0.236297
111.5, -0.242399
112, -0.324775
112.5, -0.422406
113, -0.196634
113.5, -0.160022
114, -0.297316
114.5, -0.269857
115, -0.202736
115.5, -0.275959
116, -0.150869
116.5, -0.263755
117, -0.181379
117.5, -0.239348
118, -0.227144
118.5, -0.407151
119, -0.297316
119.5, -0.300367
120, -0.282061
120.5, -0.242399
121, -0.24545
121.5, -0.394947
122, -0.27901
122.5, -0.190532
123, -0.248501
123.5, -0.199685
124, -0.291214
124.5, -0.27901
125, -0.318673
125.5, -0.217991
126, -0.385794
126.5, -0.327826
127, -0.163073
127.5, -0.160022
128, -0.236297
128.5, -0.275959
129, -0.275959
129.5, -0.260704
130, -0.254603
130.5, -0.30952
131, -0.196634
131.5, -0.413253
132, -0.330877
132.5, -0.248501
133, -0.242399
133.5, -0.15392
134, -0.21494
134.5, -0.312571
135, -0.349183
135.5, -0.230195
136, -0.211889
136.5, -0.303418
137, -0.239348
137.5, -0.327826
138, -0.169175
138.5, -0.321724
139, -0.266806
139.5, -0.364437
140, -0.330877
