x Value, y Value
0, -0.260704
0.5, -0.379692
1, -0.324775
1.5, -0.312571
2, -0.178328
2.5, -0.205787
3, -0.202736
3.5, -0.144768
4, -0.288163
4.5, -0.251552
5, -0.193583
5.5, -0.401049
6, -0.144768
6.5, -0.242399
7, -0.355285
7.5, -0.126462
8, -0.282061
8.5, -0.300367
9, -0.27901
9.5, -0.221042
10, -0.263755
10.5, -0.175277
11, -0.291214
11.5, -0.294265
12, -0.257653
12.5, -0.257653
13, -0.394947
13.5, -0.080697
14, -0.233246
14.5, -0.15392
15, -0.187481
15.5, -0.205787
16, -0.324775
16.5, -0.178328
17, -0.321724
17.5, -0.108156
18, -0.297316
18.5, -0.126462
19, -0.269857
19.5, -0.233246
20, -0.208838
20.5, -0.324775
21, -0.227144
21.5, -0.211889
22, -0.257653
22.5, -0.242399
23, -0.266806
23.5, -0.288163
24, -0.367488
24.5, -0.24545
25, -0.321724
25.5, -0.178328
26, -0.291214
26.5, -0.217991
27, -0.455967
27.5, -0.230195
28, -0.294265
28.5, -0.269857
29, -0.111207
29.5, -0.21494
30, -0.321724
30.5, -0.21494
31, -0.141717
31.5, -0.221042
32, -0.272908
32.5, -0.312571
33, -0.248501
33.5, -0.24545
34, -0.230195
34.5, -0.254603
35, -0.30952
35.5, -0.263755
36, -0.147819
36.5, -0.27901
37, -0.227144
37.5, -0.291214
38, -0.257653
38.5, -0.156971
39, -0.431559
39.5, -0.086799
40, -0.297316
40.5, -0.324775
41, -0.217991
41.5, -0.346132
42, -0.291214
42.5, -0.257653
43, -0.336979
43.5, -0.190532
44, -0.156971
44.5, -0.269857
45, -0.254603
45.5, -0.34003
46, -0.330877
46.5, -0.34003
47, -0.294265
47.5, -0.282061
48, -0.282061
48.5, -0.312571
49, -0.385794
49.5, -0.282061
50, -0.349183
50.5, -0.318673
51, -0.257653
51.5, -0.300367
52, -0.272908
52.5, -0.346132
53, -0.18443
53.5, -0.208838
54, -0.397998
54.5, -0.333928
55, -0.221042
55.5, -0.275959
56, -0.303418
56.5, -0.233246
57, -0.367488
57.5, -0.263755
58, -0.312571
58.5, -0.269857
59, -0.217991
59.5, -0.297316
60, -0.181379
60.5, -0.254603
61, -0.233246
61.5, -0.361386
62, -0.285112
62.5, -0.181379
63, -0.181379
63.5, -0.12036
64, -0.315622
64.5, -0.156971
65, -0.394947
65.5, -0.291214
66, -0.343081
66.5, -0.21494
67, -0.178328
67.5, -0.205787
68, -0.282061
68.5, -0.227144
69, -0.178328
69.5, -0.251552
70, -0.260704
70.5, -0.257653
71, -0.272908
71.5, -0.24545
72, -0.46512
72.5, -0.230195
73, -0.34003
73.5, -0.24545
74, -0.410202
74.5, -0.370539
75, -0.327826
75.5, -0.37359
76, -0.30952
76.5, -0.21494
77, -0.254603
77.5, -0.321724
78, -0.266806
78.5, -0.199685
79, -0.144768
79.5, -0.242399
80, -0.21494
80.5, -0.172226
81, -0.269857
81.5, -0.285112
82, -0.401049
82.5, -0.300367
83, -0.275959
83.5, -0.333928
84, -0.208838
84.5, -0.208838
85, -0.370539
85.5, -0.343081
86, -0.397998
86.5, -0.282061
87, -0.233246
87.5, -0.288163
88, -0.199685
88.5, -0.248501
89, -0.275959
89.5, -0.269857
90, -0.480374
90.5, -0.263755
91, -0.190532
91.5, -0.187481
92, -0.236297
92.5, -0.272908
93, -0.413253
93.5, -0.346132
94, -0.291214
94.5, -0.236297
95, -0.297316
95.5, -0.285112
96, -0.196634
96.5, -0.242399
97, -0.227144
97.5, -0.269857
98, -0.269857
98.5, -0.285112
99, -0.425457
99.5, -0.257653
100, -0.242399
100.5, -0.24545
101, -0.288163
101.5, -0.288163
102, -0.321724
102.5, -0.248501
103, -0.208838
103.5, -0.24545
104, -0.21494
104.5, -0.306469
105, -0.327826
105.5, -0.217991
106, -0.282061
106.5, -0.208838
107, -0.251552
107.5, -0.251552
108, -0.312571
108.5, -0.108156
109, -0.202736
109.5, -0.202736
110, -0.306469
110.5, -0.202736
111, -0.324775
111.5, -0.282061
112, -0.266806
112.5, -0.202736
