x Value, y Value
0, -0.199685
0.5, -0.21494
1, -0.202736
1.5, -0.172226
2, -0.272908
2.5, -0.330877
3, -0.24545
3.5, -0.352234
4, -0.260704
4.5, -0.205787
5, -0.297316
5.5, -0.172226
6, -0.355285
6.5, -0.260704
7, -0.257653
7.5, -0.343081
8, -0.086799
8.5, -0.205787
9, -0.306469
9.5, -0.282061
10, -0.181379
10.5, -0.306469
11, -0.294265
11.5, -0.181379
12, -0.227144
12.5, -0.211889
13, -0.224093
13.5, -0.251552
14, -0.260704
14.5, -0.272908
15, -0.376641
15.5, -0.196634
16, -0.205787
16.5, -0.205787
17, -0.202736
17.5, -0.321724
18, -0.269857
18.5, -0.306469
19, -0.269857
19.5, -0.208838
20, -0.27901
20.5, -0.275959
21, -0.324775
21.5, -0.327826
22, -0.285112
22.5, -0.263755
23, -0.34003
23.5, -0.221042
24, -0.269857
24.5, -0.30952
25, -0.217991
25.5, -0.361386
26, -0.321724
26.5, -0.291214
27, -0.068493
27.5, -0.193583
28, -0.257653
28.5, -0.199685
29, -0.303418
29.5, -0.190532
30, -0.205787
30.5, -0.272908
31, -0.327826
31.5, -0.199685
32, -0.272908
32.5, -0.175277
33, -0.318673
33.5, -0.376641
34, -0.370539
34.5, -0.358336
35, -0.358336
35.5, -0.364437
36, -0.321724
36.5, -0.358336
37, -0.361386
37.5, -0.355285
38, -0.367488
38.5, -0.37359
39, -0.367488
39.5, -0.355285
40, -0.336979
40.5, -0.346132
41, -0.355285
41.5, -0.358336
42, -0.379692
42.5, -0.361386
43, -0.361386
43.5, -0.352234
44, -0.358336
44.5, -0.370539
45, -0.382743
45.5, -0.370539
46, -0.364437
46.5, -0.37359
47, -0.355285
47.5, -0.370539
48, -0.333928
48.5, -0.37359
49, -0.352234
49.5, -0.349183
50, -0.37359
50.5, -0.352234
51, -0.364437
51.5, -0.358336
52, -0.324775
52.5, -0.355285
53, -0.355285
53.5, -0.367488
54, -0.367488
54.5, -0.364437
55, -0.367488
55.5, -0.370539
56, -0.367488
56.5, -0.358336
57, -0.361386
57.5, -0.37359
58, -0.364437
58.5, -0.382743
59, -0.370539
59.5, -0.333928
60, -0.37359
60.5, -0.349183
61, -0.37359
61.5, -0.364437
62, -0.364437
62.5, -0.379692
63, -0.367488
63.5, -0.361386
64, -0.37359
64.5, -0.34003
65, -0.364437
65.5, -0.370539
66, -0.364437
66.5, -0.376641
67, -0.361386
67.5, -0.349183
68, -0.355285
68.5, -0.346132
69, -0.361386
69.5, -0.367488
70, -0.382743
70.5, -0.379692
71, -0.361386
71.5, -0.364437
72, -0.367488
72.5, -0.361386
73, -0.352234
73.5, -0.37359
74, -0.376641
74.5, -0.367488
75, -0.37359
75.5, -0.346132
76, -0.355285
76.5, -0.370539
77, -0.352234
77.5, -0.385794
78, -0.361386
78.5, -0.37359
79, -0.370539
79.5, -0.346132
80, -0.355285
80.5, -0.349183
81, -0.364437
81.5, -0.364437
82, -0.346132
82.5, -0.391896
83, -0.34003
83.5, -0.333928
84, -0.346132
84.5, -0.321724
85, -0.370539
85.5, -0.370539
86, -0.367488
86.5, -0.376641
87, -0.361386
87.5, -0.327826
88, -0.352234
88.5, -0.34003
89, -0.370539
89.5, -0.358336
90, -0.355285
90.5, -0.370539
91, -0.376641
91.5, -0.343081
92, -0.355285
92.5, -0.361386
93, -0.370539
93.5, -0.364437
94, -0.379692
94.5, -0.376641
95, -0.352234
95.5, -0.330877
96, -0.343081
96.5, -0.349183
97, -0.364437
97.5, -0.367488
98, -0.382743
98.5, -0.364437
99, -0.343081
99.5, -0.336979
100, -0.343081
100.5, -0.355285
101, -0.355285
101.5, -0.376641
102, -0.379692
102.5, -0.385794
103, -0.346132
103.5, -0.324775
104, -0.355285
104.5, -0.352234
105, -0.364437
105.5, -0.401049
106, -0.364437
106.5, -0.336979
107, -0.361386
107.5, -0.315622
108, -0.358336
108.5, -0.370539
109, -0.355285
109.5, -0.385794
110, -0.367488
110.5, -0.336979
111, -0.349183
111.5, -0.352234
112, -0.355285
112.5, -0.382743
113, -0.355285
113.5, -0.379692
114, -0.37359
114.5, -0.330877
115, -0.324775
115.5, -0.333928
116, -0.355285
116.5, -0.352234
117, -0.358336
117.5, -0.376641
118, -0.382743
118.5, -0.315622
119, -0.333928
119.5, -0.336979
120, -0.349183
120.5, -0.379692
121, -0.349183
121.5, -0.364437
122, -0.379692
122.5, -0.303418
123, -0.330877
123.5, -0.333928
124, -0.324775
124.5, -0.385794
125, -0.364437
125.5, -0.367488
126, -0.397998
126.5, -0.306469
127, -0.318673
127.5, -0.343081
128, -0.343081
128.5, -0.397998
129, -0.364437
129.5, -0.379692
130, -0.394947
130.5, -0.303418
131, -0.34003
131.5, -0.361386
132, -0.352234
132.5, -0.382743
133, -0.382743
133.5, -0.382743
134, -0.355285
134.5, -0.336979
135, -0.343081
135.5, -0.346132
136, -0.367488
