x Value, y Value
0, -0.224093
0.5, -0.303418
1, -0.144768
1.5, -0.275959
2, -0.367488
2.5, -0.361386
3, -0.251552
3.5, -0.196634
4, -0.190532
4.5, -0.385794
5, -0.181379
5.5, -0.199685
6, -0.199685
6.5, -0.15392
7, -0.260704
7.5, -0.282061
8, -0.30952
8.5, -0.282061
9, -0.330877
9.5, -0.227144
10, -0.236297
10.5, -0.303418
11, -0.217991
11.5, -0.297316
12, -0.150869
12.5, -0.355285
13, -0.260704
13.5, -0.208838
14, -0.336979
14.5, -0.312571
15, -0.266806
15.5, -0.163073
16, -0.303418
16.5, -0.297316
17, -0.266806
17.5, -0.27901
18, -0.343081
18.5, -0.224093
19, -0.227144
19.5, -0.251552
20, -0.111207
20.5, -0.321724
21, -0.257653
21.5, -0.242399
22, -0.27901
22.5, -0.343081
23, -0.111207
23.5, -0.37359
24, -0.15392
24.5, -0.239348
25, -0.312571
25.5, -0.346132
26, -0.315622
26.5, -0.269857
27, -0.263755
27.5, -0.242399
28, -0.236297
28.5, -0.333928
29, -0.285112
29.5, -0.306469
30, -0.27901
30.5, -0.312571
31, -0.208838
31.5, -0.27901
32, -0.233246
32.5, -0.230195
33, -0.336979
33.5, -0.312571
34, -0.312571
34.5, -0.288163
35, -0.294265
35.5, -0.175277
36, -0.239348
36.5, -0.202736
37, -0.263755
37.5, -0.324775
38, -0.291214
38.5, -0.288163
39, -0.4041
39.5, -0.156971
40, -0.416304
40.5, -0.227144
41, -0.379692
41.5, -0.260704
42, -0.294265
42.5, -0.175277
43, -0.330877
43.5, -0.263755
44, -0.15392
44.5, -0.242399
45, -0.251552
45.5, -0.297316
46, -0.211889
46.5, -0.34003
47, -0.346132
47.5, -0.208838
48, -0.30952
48.5, -0.266806
49, -0.397998
49.5, -0.217991
50, -0.156971
50.5, -0.419355
51, -0.15392
51.5, -0.178328
52, -0.172226
52.5, -0.196634
53, -0.321724
53.5, -0.355285
54, -0.30952
54.5, -0.111207
55, -0.291214
55.5, -0.269857
56, -0.187481
56.5, -0.175277
57, -0.178328
57.5, -0.343081
58, -0.172226
58.5, -0.321724
59, -0.343081
59.5, -0.269857
60, -0.205787
60.5, -0.202736
61, -0.254603
61.5, -0.336979
62, -0.230195
62.5, -0.306469
63, -0.217991
63.5, -0.257653
64, -0.282061
64.5, -0.391896
65, -0.385794
65.5, -0.257653
66, -0.358336
66.5, -0.227144
67, -0.272908
67.5, -0.285112
68, -0.367488
68.5, -0.343081
69, -0.349183
69.5, -0.141717
70, -0.285112
70.5, -0.227144
71, -0.15392
71.5, -0.221042
72, -0.193583
72.5, -0.21494
73, -0.291214
73.5, -0.18443
74, -0.370539
74.5, -0.382743
75, -0.163073
75.5, -0.282061
76, -0.306469
76.5, -0.224093
77, -0.288163
77.5, -0.413253
78, -0.346132
78.5, -0.233246
79, -0.193583
79.5, -0.257653
80, -0.318673
80.5, -0.242399
81, -0.291214
81.5, -0.266806
82, -0.230195
82.5, -0.269857
83, -0.269857
83.5, -0.227144
84, -0.248501
