x Value, y Value
0, 21.8893
0.5, 16.962
1, 14.8111
1.5, 13.4565
2, 12.4893
2.5, 11.7327
3, 11.1011
3.5, 10.5641
4, 10.1431
4.5, 9.69156
5, 9.3285
5.5, 9.00204
6, 8.7122
6.5, 8.45592
7, 8.17523
7.5, 7.93726
8, 7.73894
8.5, 7.51012
9, 7.33316
9.5, 7.13485
10, 6.9701
10.5, 6.8145
11, 6.64669
11.5, 6.50635
12, 6.38126
12.5, 6.23481
13, 6.10667
13.5, 5.98158
14, 5.8687
14.5, 5.76801
15, 5.64598
15.5, 5.5514
16, 5.44766
16.5, 5.36529
17, 5.26766
17.5, 5.17918
18, 5.09375
18.5, 5.01443
19, 4.91984
19.5, 4.83747
20, 4.7734
20.5, 4.70628
21, 4.64221
21.5, 4.60254
22, 4.51101
22.5, 4.45915
23, 4.38287
23.5, 4.3005
24, 4.26694
24.5, 4.19371
25, 4.1449
25.5, 4.10829
26, 4.04117
26.5, 4.0015
27, 3.94048
27.5, 3.88862
28, 3.85811
28.5, 3.80624
29, 3.75742
29.5, 3.70861
30, 3.67505
30.5, 3.62928
31, 3.58352
31.5, 3.53776
32, 3.50725
32.5, 3.49199
33, 3.43707
33.5, 3.40961
34, 3.35775
34.5, 3.32114
35, 3.30893
35.5, 3.26317
36, 3.22961
36.5, 3.2235
37, 3.16249
37.5, 3.14418
38, 3.10452
38.5, 3.06791
39, 3.04655
39.5, 2.99773
40, 2.97943
40.5, 3.00384
41, 2.95197
41.5, 2.93061
42, 2.8879
42.5, 2.85434
43, 2.83603
43.5, 2.79027
44, 2.77501
44.5, 2.80247
45, 2.7384
45.5, 2.73535
46, 2.69874
46.5, 2.67738
47, 2.66213
47.5, 2.61636
48, 2.62857
48.5, 2.61331
49, 2.57975
49.5, 2.56144
50, 2.54314
50.5, 2.50347
51, 2.49432
51.5, 2.51873
52, 2.48212
52.5, 2.44246
53, 2.4272
53.5, 2.40279
54, 2.38449
54.5, 2.37534
55, 2.34483
55.5, 2.38449
56, 2.34177
56.5, 2.31432
57, 2.31737
57.5, 2.25635
58, 2.2533
58.5, 2.22279
59, 2.21363
59.5, 2.24719
60, 2.21668
60.5, 2.21974
61, 2.17092
61.5, 2.15261
62, 2.14041
62.5, 2.0977
63, 2.10075
63.5, 2.12515
64, 2.08244
64.5, 2.10075
65, 2.08244
65.5, 2.05193
66, 2.04583
66.5, 2.00617
67, 2.01837
67.5, 2.02142
68, 2.00617
68.5, 1.99701
69, 1.97566
69.5, 1.9421
70, 1.92684
70.5, 1.90854
71, 1.93905
71.5, 1.96345
72, 1.89328
72.5, 1.89633
73, 1.87803
73.5, 1.85667
74, 1.84447
74.5, 1.87498
75, 1.83226
75.5, 1.85667
76, 1.82921
76.5, 1.78345
77, 1.81396
77.5, 1.76819
78, 1.75904
78.5, 1.81701
79, 1.75294
79.5, 1.75904
80, 1.75294
80.5, 1.70412
81, 1.72243
81.5, 1.67361
82, 1.70107
82.5, 1.75599
83, 1.69192
83.5, 1.68582
84, 1.68582
84.5, 1.64005
85, 1.66141
85.5, 1.63395
86, 1.66446
86.5, 1.67971
87, 1.63395
87.5, 1.65531
88, 1.62785
88.5, 1.58513
89, 1.60344
89.5, 1.57598
90, 1.60344
90.5, 1.59429
91, 1.56072
91.5, 1.55767
92, 1.55767
92.5, 1.52411
93, 1.53022
93.5, 1.52717
94, 1.51801
94.5, 1.54852
95, 1.52411
95.5, 1.4875
96, 1.50581
96.5, 1.49666
97, 1.48445
97.5, 1.47835
98, 1.4875
98.5, 1.48445
99, 1.46004
99.5, 1.44479
100, 1.46004
100.5, 1.43258
101, 1.42648
101.5, 1.44784
102, 1.42343
102.5, 1.42648
103, 1.44784
103.5, 1.39292
104, 1.42038
104.5, 1.38987
105, 1.36851
105.5, 1.38072
106, 1.37767
106.5, 1.37462
107, 1.37156
107.5, 1.36546
108, 1.35936
108.5, 1.34411
109, 1.3319
109.5, 1.3319
110, 1.3197
110.5, 1.3319
111, 1.338
111.5, 1.3258
112, 1.31665
112.5, 1.30444
113, 1.31055
113.5, 1.29834
114, 1.29834
114.5, 1.28614
115, 1.27393
115.5, 1.28614
116, 1.28309
116.5, 1.27393
117, 1.27393
117.5, 1.26173
118, 1.24953
118.5, 1.158
119, 0.987143
119.5, 0.779677
120, 0.718657
120.5, 0.544752
121, 0.434917
121.5, 0.410509
122, 0.364745
122.5, 0.38305
123, 0.38305
123.5, 0.386101
124, 0.379999
124.5, 0.392203
125, 0.407458
125.5, 0.465427
126, 0.41356
126.5, 0.47458
127, 0.47458
127.5, 0.492885
128, 0.502038
128.5, 0.517293
129, 0.743065
129.5, 0.910868
130, 1.02375
130.5, 1.04206
131, 1.06952
131.5, 0.996296
132, 0.953582
132.5, 0.959684
133, 0.807135
133.5, 0.685097
134, 0.566109
134.5, 0.44407
135, 0.306776
135.5, 0.19389
136, 0.087106
136.5, -0.034933
137, -0.123411
137.5, -0.190532
138, -0.291214
138.5, -0.30952
139, -0.269857
139.5, -0.269857
140, -0.248501
140.5, -0.187481
141, -0.199685
141.5, -0.132564
142, -0.147819
142.5, -0.132564
143, -0.105105
143.5, -0.071544
144, -0.022729
144.5, -0.016627
145, 0.019985
145.5, 0.267114
146, 0.419662
146.5, 0.550854
147, 0.617975
147.5, 0.590516
148, 0.563058
148.5, 0.547803
149, 0.532548
149.5, 0.468478
150, 0.300674
150.5, 0.169482
151, 0.096259
151.5, -0.028831
152, -0.15392
152.5, -0.260704
153, -0.391896
153.5, -0.431559
154, -0.599362
154.5, -0.639025
155, -0.605464
155.5, -0.62377
156, -0.605464
156.5, -0.556649
157, -0.541394
157.5, -0.501731
158, -0.474272
158.5, -0.455967
159, -0.370539
159.5, -0.370539
160, -0.318673
160.5, -0.330877
161, -0.291214
161.5, -0.300367
162, -0.147819
162.5, 0.053546
163, 0.294572
163.5, 0.28847
164, 0.309827
164.5, 0.340337
165, 0.270165
165.5, 0.215247
166, 0.190839
166.5, 0.019985
167, -0.041035
167.5, -0.156971
168, -0.282061
168.5, -0.397998
169, -0.516986
169.5, -0.645127
170, -0.629872
170.5, -0.815981
171, -0.809879
171.5, -0.858695
172, -0.846491
172.5, -0.834287
173, -0.809879
173.5, -0.767166
174, -0.77937
174.5, -0.724452
175, -0.672586
175.5, -0.660382
176, -0.565802
176.5, -0.581056
177, -0.556649
177.5, -0.535292
178, -0.486476
178.5, -0.343081
179, -0.126462
179.5, 0.077953
180, 0.154228
180.5, 0.108463
181, 0.148126
181.5, 0.077953
182, 0.077953
182.5, 0.120667
183, 0.007781
