x Value, y Value
0, -0.272908
0.5, -0.175277
1, -0.172226
1.5, -0.254603
2, -0.108156
2.5, -0.236297
3, -0.336979
3.5, -0.297316
4, -0.141717
4.5, -0.147819
5, -0.254603
5.5, -0.175277
6, -0.306469
6.5, -0.27901
7, -0.208838
7.5, -0.147819
8, -0.254603
8.5, -0.291214
9, -0.294265
9.5, -0.358336
10, -0.239348
10.5, -0.291214
11, -0.303418
11.5, -0.217991
12, -0.333928
12.5, -0.205787
13, -0.251552
13.5, -0.324775
14, -0.21494
14.5, -0.34003
15, -0.15392
15.5, -0.202736
16, -0.178328
16.5, -0.291214
17, -0.358336
17.5, -0.156971
18, -0.199685
18.5, -0.346132
19, -0.349183
19.5, -0.239348
20, -0.205787
20.5, -0.217991
21, -0.336979
21.5, -0.263755
22, -0.291214
22.5, -0.05934
23, -0.385794
23.5, -0.382743
24, -0.364437
24.5, -0.333928
25, -0.205787
25.5, -0.269857
26, -0.202736
26.5, -0.269857
27, -0.303418
27.5, -0.269857
28, -0.166124
28.5, -0.312571
29, -0.306469
29.5, -0.269857
30, -0.230195
30.5, -0.208838
31, -0.108156
31.5, -0.410202
32, -0.413253
32.5, -0.34003
33, -0.181379
33.5, -0.224093
34, -0.303418
34.5, -0.224093
35, -0.272908
35.5, -0.217991
36, -0.236297
36.5, -0.202736
37, -0.282061
37.5, -0.211889
38, -0.233246
38.5, -0.248501
39, -0.193583
39.5, -0.291214
40, -0.224093
40.5, -0.297316
41, -0.318673
41.5, -0.041035
42, -0.068493
42.5, -0.312571
43, -0.224093
43.5, -0.227144
44, -0.291214
44.5, -0.156971
45, -0.227144
45.5, -0.224093
46, -0.266806
46.5, -0.349183
47, -0.242399
47.5, -0.343081
48, -0.138666
48.5, -0.221042
49, -0.324775
49.5, -0.343081
50, -0.18443
50.5, -0.263755
51, -0.300367
51.5, -0.410202
52, -0.08985
52.5, -0.199685
53, -0.163073
53.5, -0.202736
54, -0.221042
54.5, -0.291214
55, -0.233246
55.5, -0.24545
56, -0.221042
56.5, -0.266806
57, -0.251552
57.5, -0.34003
58, -0.407151
58.5, -0.376641
59, -0.315622
59.5, -0.355285
60, -0.376641
60.5, -0.24545
61, -0.251552
61.5, -0.266806
62, -0.160022
62.5, -0.266806
63, -0.288163
63.5, -0.272908
64, -0.175277
64.5, -0.227144
65, -0.27901
65.5, -0.327826
66, -0.352234
66.5, -0.242399
67, -0.24545
67.5, -0.333928
68, -0.43461
68.5, -0.254603
69, -0.315622
69.5, -0.202736
70, -0.230195
70.5, -0.254603
71, -0.321724
71.5, -0.269857
72, -0.285112
72.5, -0.208838
73, -0.18443
73.5, -0.24545
74, -0.321724
74.5, -0.242399
75, -0.425457
75.5, -0.285112
76, -0.330877
76.5, -0.166124
77, -0.24545
77.5, -0.266806
78, -0.257653
78.5, -0.300367
79, -0.257653
79.5, -0.422406
80, -0.239348
80.5, -0.333928
81, -0.297316
81.5, -0.254603
82, -0.21494
82.5, -0.239348
83, -0.300367
83.5, -0.129513
84, -0.208838
84.5, -0.352234
85, -0.37359
85.5, -0.30952
86, -0.300367
86.5, -0.208838
87, -0.230195
87.5, -0.294265
88, -0.379692
88.5, -0.239348
89, -0.208838
89.5, -0.248501
90, -0.285112
90.5, -0.346132
91, -0.282061
91.5, -0.394947
92, -0.4041
92.5, -0.330877
93, -0.492578
93.5, -0.239348
94, -0.260704
94.5, -0.236297
95, -0.178328
95.5, -0.297316
96, -0.358336
96.5, -0.370539
97, -0.297316
97.5, -0.169175
98, -0.282061
98.5, -0.211889
99, -0.306469
99.5, -0.144768
100, -0.266806
100.5, -0.294265
101, -0.275959
101.5, -0.30952
102, -0.166124
102.5, -0.34003
103, -0.263755
103.5, -0.303418
104, -0.227144
104.5, -0.370539
105, -0.248501
105.5, -0.333928
106, -0.227144
106.5, -0.044086
107, -0.193583
107.5, -0.379692
108, -0.21494
108.5, -0.248501
109, -0.251552
109.5, -0.102054
110, -0.272908
110.5, -0.217991
111, -0.391896
111.5, -0.385794
112, -0.208838
112.5, -0.288163
113, -0.172226
113.5, -0.196634
114, -0.193583
114.5, -0.196634
115, -0.346132
115.5, -0.346132
116, -0.275959
116.5, -0.318673
117, -0.211889
117.5, -0.196634
118, -0.187481
118.5, -0.321724
119, -0.318673
119.5, -0.239348
120, -0.233246
120.5, -0.227144
121, -0.196634
121.5, -0.315622
122, -0.254603
122.5, -0.275959
123, -0.30952
123.5, -0.391896
124, -0.272908
124.5, -0.352234
125, -0.336979
125.5, -0.394947
126, -0.327826
126.5, -0.361386
127, -0.501731
127.5, -0.452916
128, -0.431559
128.5, -0.379692
129, -0.318673
129.5, -0.364437
130, -0.352234
130.5, -0.361386
131, -0.379692
131.5, -0.355285
132, -0.336979
132.5, -0.361386
133, -0.336979
133.5, -0.361386
134, -0.370539
134.5, -0.343081
135, -0.391896
135.5, -0.361386
136, -0.327826
136.5, -0.358336
137, -0.324775
137.5, -0.349183
138, -0.370539
138.5, -0.364437
139, -0.391896
139.5, -0.352234
140, -0.315622
140.5, -0.358336
141, -0.327826
141.5, -0.364437
142, -0.379692
142.5, -0.364437
143, -0.391896
143.5, -0.364437
144, -0.370539
144.5, -0.361386
145, -0.358336
145.5, -0.355285
146, -0.379692
146.5, -0.376641
147, -0.379692
147.5, -0.358336
148, -0.370539
148.5, -0.370539
149, -0.370539
149.5, -0.358336
150, -0.37359
150.5, -0.352234
151, -0.361386
151.5, -0.367488
152, -0.324775
152.5, -0.349183
153, -0.358336
153.5, -0.364437
154, -0.358336
154.5, -0.364437
155, -0.367488
155.5, -0.364437
156, -0.336979
156.5, -0.364437
157, -0.361386
157.5, -0.358336
158, -0.367488
