x Value, y Value
0, -0.251552
0.5, -0.211889
1, -0.21494
1.5, -0.18443
2, -0.230195
2.5, -0.27901
3, -0.30952
3.5, -0.401049
4, -0.233246
4.5, -0.144768
5, -0.099003
5.5, -0.217991
6, -0.190532
6.5, -0.4041
7, -0.361386
7.5, -0.205787
8, -0.233246
8.5, -0.306469
9, -0.336979
9.5, -0.21494
10, -0.291214
10.5, -0.263755
11, -0.285112
11.5, -0.312571
12, -0.248501
12.5, -0.376641
13, -0.205787
13.5, -0.224093
14, -0.318673
14.5, -0.211889
15, -0.379692
15.5, -0.288163
16, -0.306469
16.5, -0.211889
17, -0.282061
17.5, -0.364437
18, -0.248501
18.5, -0.27901
19, -0.361386
19.5, -0.352234
20, -0.254603
20.5, -0.300367
21, -0.288163
21.5, -0.294265
22, -0.37359
22.5, -0.21494
23, -0.318673
23.5, -0.193583
24, -0.336979
24.5, -0.297316
25, -0.275959
25.5, -0.208838
26, -0.272908
26.5, -0.236297
27, -0.251552
27.5, -0.190532
28, -0.257653
28.5, -0.239348
29, -0.260704
29.5, -0.330877
30, -0.294265
30.5, -0.150869
31, -0.269857
31.5, -0.269857
32, -0.150869
32.5, -0.254603
33, -0.336979
33.5, -0.208838
34, -0.413253
34.5, -0.199685
35, -0.318673
35.5, -0.178328
36, -0.333928
36.5, -0.251552
37, -0.30952
37.5, -0.242399
38, -0.330877
38.5, -0.248501
39, -0.318673
39.5, -0.221042
40, -0.166124
40.5, -0.346132
41, -0.199685
41.5, -0.211889
42, -0.306469
42.5, -0.394947
43, -0.272908
43.5, -0.294265
44, -0.254603
44.5, -0.275959
45, -0.266806
45.5, -0.251552
46, -0.327826
46.5, -0.178328
47, -0.187481
47.5, -0.254603
48, -0.324775
48.5, -0.306469
49, -0.385794
49.5, -0.327826
50, -0.236297
50.5, -0.306469
51, -0.242399
51.5, -0.242399
52, -0.285112
52.5, -0.385794
53, -0.263755
53.5, -0.297316
54, -0.251552
54.5, -0.221042
55, -0.300367
55.5, -0.294265
56, -0.352234
56.5, -0.352234
57, -0.227144
57.5, -0.288163
58, -0.297316
58.5, -0.321724
59, -0.248501
59.5, -0.117309
60, -0.263755
60.5, -0.300367
61, -0.346132
61.5, -0.221042
62, -0.285112
62.5, -0.166124
63, -0.24545
63.5, -0.169175
64, -0.300367
64.5, -0.343081
65, -0.300367
65.5, -0.21494
66, -0.303418
66.5, -0.181379
67, -0.190532
67.5, -0.217991
68, -0.263755
68.5, -0.233246
69, -0.306469
69.5, -0.181379
70, -0.227144
70.5, -0.43461
71, -0.34003
71.5, -0.260704
72, -0.251552
72.5, -0.169175
73, -0.260704
73.5, -0.224093
74, -0.169175
74.5, -0.282061
75, -0.202736
75.5, -0.34003
76, -0.315622
76.5, -0.327826
77, -0.294265
77.5, -0.272908
78, -0.239348
78.5, -0.379692
79, -0.27901
79.5, -0.260704
80, -0.227144
80.5, -0.239348
81, -0.288163
81.5, -0.303418
82, -0.254603
82.5, -0.21494
83, -0.282061
83.5, -0.401049
84, -0.275959
84.5, -0.257653
85, -0.346132
85.5, -0.275959
86, -0.312571
86.5, -0.388845
87, -0.18443
87.5, -0.227144
88, -0.327826
88.5, -0.211889
89, -0.187481
89.5, -0.382743
90, -0.199685
90.5, -0.422406
91, -0.376641
91.5, -0.166124
92, -0.294265
92.5, -0.248501
93, -0.306469
93.5, -0.257653
94, -0.211889
94.5, -0.346132
95, -0.315622
95.5, -0.327826
96, -0.227144
96.5, -0.327826
97, -0.294265
97.5, -0.343081
98, -0.361386
98.5, -0.242399
99, -0.321724
99.5, -0.306469
100, -0.163073
100.5, -0.217991
101, -0.401049
101.5, -0.422406
102, -0.474272
102.5, -0.37359
103, -0.364437
103.5, -0.370539
104, -0.349183
104.5, -0.355285
105, -0.349183
105.5, -0.358336
106, -0.364437
106.5, -0.361386
107, -0.376641
107.5, -0.367488
108, -0.401049
108.5, -0.385794
109, -0.343081
109.5, -0.358336
110, -0.355285
110.5, -0.358336
111, -0.364437
111.5, -0.352234
112, -0.37359
112.5, -0.361386
113, -0.358336
113.5, -0.370539
114, -0.355285
114.5, -0.355285
115, -0.349183
115.5, -0.364437
116, -0.364437
116.5, -0.376641
117, -0.367488
117.5, -0.352234
118, -0.361386
118.5, -0.361386
119, -0.346132
119.5, -0.370539
120, -0.367488
120.5, -0.364437
121, -0.367488
121.5, -0.343081
122, -0.361386
122.5, -0.361386
123, -0.355285
123.5, -0.370539
124, -0.361386
124.5, -0.349183
125, -0.367488
125.5, -0.346132
126, -0.364437
126.5, -0.355285
127, -0.364437
127.5, -0.37359
128, -0.349183
128.5, -0.349183
129, -0.367488
129.5, -0.355285
130, -0.361386
130.5, -0.364437
131, -0.361386
131.5, -0.385794
132, -0.370539
132.5, -0.333928
133, -0.343081
133.5, -0.349183
134, -0.352234
134.5, -0.37359
135, -0.361386
135.5, -0.37359
136, -0.376641
136.5, -0.34003
137, -0.370539
137.5, -0.346132
138, -0.361386
138.5, -0.382743
139, -0.364437
139.5, -0.367488
140, -0.385794
140.5, -0.343081
141, -0.352234
141.5, -0.352234
142, -0.352234
142.5, -0.376641
143, -0.352234
143.5, -0.367488
144, -0.358336
144.5, -0.306469
145, -0.358336
145.5, -0.34003
146, -0.382743
146.5, -0.361386
147, -0.343081
147.5, -0.388845
148, -0.34003
148.5, -0.315622
149, -0.349183
149.5, -0.321724
150, -0.37359
150.5, -0.349183
151, -0.382743
151.5, -0.379692
152, -0.336979
152.5, -0.336979
153, -0.34003
153.5, -0.330877
154, -0.370539
154.5, -0.385794
155, -0.382743
155.5, -0.382743
156, -0.321724
156.5, -0.327826
157, -0.346132
157.5, -0.346132
158, -0.370539
158.5, -0.361386
159, -0.361386
159.5, -0.385794
160, -0.343081
160.5, -0.321724
161, -0.34003
161.5, -0.333928
162, -0.364437
162.5, -0.376641
163, -0.379692
163.5, -0.376641
164, -0.34003
164.5, -0.30952
165, -0.361386
165.5, -0.343081
166, -0.361386
166.5, -0.385794
167, -0.355285
167.5, -0.318673
168, -0.333928
168.5, -0.318673
169, -0.355285
169.5, -0.379692
170, -0.37359
170.5, -0.4041
171, -0.379692
171.5, -0.324775
172, -0.370539
172.5, -0.367488
173, -0.349183
173.5, -0.382743
174, -0.370539
174.5, -0.379692
175, -0.37359
175.5, -0.336979
176, -0.330877
176.5, -0.355285
177, -0.336979
177.5, -0.385794
178, -0.385794
178.5, -0.376641
179, -0.367488
179.5, -0.303418
180, -0.336979
180.5, -0.370539
181, -0.330877
181.5, -0.382743
182, -0.367488
182.5, -0.391896
183, -0.376641
183.5, -0.327826
184, -0.355285
184.5, -0.349183
185, -0.34003
185.5, -0.358336
186, -0.343081
186.5, -0.364437
187, -0.379692
187.5, -0.315622
188, -0.318673
188.5, -0.346132
189, -0.364437
189.5, -0.364437
190, -0.367488
190.5, -0.376641
191, -0.333928
191.5, -0.367488
192, -0.336979
192.5, -0.358336
193, -0.391896
193.5, -0.37359
194, -0.37359
194.5, -0.358336
195, -0.303418
195.5, -0.355285
196, -0.34003
196.5, -0.355285
197, -0.358336
197.5, -0.364437
198, -0.391896
198.5, -0.355285
199, -0.312571
199.5, -0.361386
200, -0.318673
200.5, -0.364437
201, -0.388845
201.5, -0.358336
202, -0.401049
202.5, -0.349183
203, -0.312571
203.5, -0.352234
204, -0.343081
204.5, -0.370539
205, -0.379692
205.5, -0.364437
206, -0.376641
206.5, -0.358336
207, -0.321724
207.5, -0.358336
208, -0.333928
208.5, -0.355285
209, -0.382743
209.5, -0.379692
210, -0.379692
210.5, -0.364437
211, -0.343081
211.5, -0.346132
212, -0.37359
212.5, -0.355285
213, -0.367488
213.5, -0.358336
214, -0.382743
214.5, -0.361386
215, -0.346132
215.5, -0.367488
216, -0.346132
216.5, -0.367488
217, -0.370539
217.5, -0.352234
218, -0.349183
218.5, -0.361386
219, -0.330877
219.5, -0.349183
220, -0.343081
220.5, -0.367488
221, -0.358336
221.5, -0.355285
222, -0.37359
222.5, -0.361386
223, -0.343081
223.5, -0.367488
224, -0.355285
224.5, -0.37359
225, -0.355285
225.5, -0.358336
226, -0.367488
226.5, -0.379692
227, -0.355285
227.5, -0.355285
228, -0.358336
228.5, -0.358336
229, -0.355285
229.5, -0.367488
230, -0.364437
230.5, -0.358336
231, -0.367488
231.5, -0.343081
232, -0.364437
232.5, -0.352234
233, -0.355285
233.5, -0.370539
234, -0.343081
234.5, -0.346132
235, -0.370539
235.5, -0.34003
236, -0.336979
236.5, -0.361386
237, -0.364437
237.5, -0.376641
238, -0.352234
238.5, -0.358336
239, -0.355285
239.5, -0.343081
240, -0.361386
240.5, -0.364437
241, -0.361386
241.5, -0.370539
242, -0.352234
242.5, -0.336979
243, -0.352234
243.5, -0.352234
244, -0.364437
244.5, -0.355285
245, -0.355285
245.5, -0.358336
246, -0.370539
246.5, -0.349183
247, -0.361386
247.5, -0.343081
248, -0.358336
248.5, -0.37359
249, -0.355285
249.5, -0.364437
250, -0.364437
250.5, -0.343081
251, -0.349183
251.5, -0.343081
252, -0.376641
252.5, -0.367488
253, -0.358336
253.5, -0.37359
254, -0.364437
254.5, -0.327826
255, -0.346132
255.5, -0.346132
256, -0.367488
256.5, -0.364437
257, -0.367488
257.5, -0.376641
258, -0.361386
258.5, -0.336979
259, -0.358336
259.5, -0.343081
260, -0.367488
260.5, -0.361386
261, -0.361386
261.5, -0.34003
262, -0.352234
262.5, -0.343081
263, -0.346132
263.5, -0.364437
264, -0.358336
264.5, -0.370539
265, -0.385794
265.5, -0.336979
266, -0.355285
266.5, -0.336979
267, -0.34003
267.5, -0.379692
268, -0.385794
268.5, -0.382743
269, -0.388845
269.5, -0.321724
270, -0.34003
270.5, -0.34003
271, -0.355285
271.5, -0.367488
272, -0.367488
272.5, -0.376641
273, -0.382743
273.5, -0.321724
274, -0.343081
274.5, -0.34003
275, -0.336979
275.5, -0.376641
276, -0.358336
276.5, -0.394947
277, -0.37359
277.5, -0.321724
278, -0.330877
278.5, -0.346132
279, -0.343081
279.5, -0.358336
280, -0.388845
280.5, -0.388845
281, -0.388845
281.5, -0.336979
282, -0.343081
282.5, -0.327826
283, -0.379692
283.5, -0.364437
284, -0.376641
284.5, -0.388845
285, -0.343081
285.5, -0.318673
286, -0.336979
286.5, -0.34003
287, -0.370539
287.5, -0.355285
288, -0.385794
288.5, -0.394947
289, -0.349183
289.5, -0.34003
290, -0.343081
290.5, -0.343081
291, -0.379692
291.5, -0.388845
292, -0.382743
292.5, -0.394947
293, -0.330877
293.5, -0.324775
294, -0.327826
294.5, -0.34003
295, -0.370539
295.5, -0.388845
296, -0.376641
296.5, -0.382743
297, -0.315622
297.5, -0.321724
298, -0.336979
298.5, -0.361386
